原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
要夯实国内能源生产基础，保障煤炭供应安全，保持原油、天然气产能稳定增长，加强煤气油储备能力建设，推进先进储能技术规模化应用。要把促进新能源和清洁能源发展放在更加突出的位置，积极有序发展光能源、硅能源、氢能源、可再生能源。要推动能源技术与现代信息、新材料和先进制造技术深度融合，探索能源生产和消费新模式。要加快发展有规模有效益的风能、太阳能、生物质能、地热能、海洋能、氢能等新能源，统筹水电开发和生态保护，积极安全有序发展核电。,能源,6,能源,能源,发展
,发展,4,有序,有序,技术
,积极,2,发展,发展,建设
,生产,2,新能源,新能源,推动
,有序,2,先进,先进,加快
,新能源,2,安全,安全,加强
,技术,2,海洋能,海洋能,基础
,安全,2,氢能,氢能,推进
,先进,2,储能,储能,促进
,风能,1,积极,积极,融合
,规模化,1,地热能,地热能,能力
,规模,1,能源技术,能源技术,应用
,融合,1,生物质能,生物质能,积极
,能源技术,1,技术,技术,安全
,能力,1,规模化,规模化,更加
,统筹,1,,,
,突出,1,,,
,稳定增长,1,,,
,生物质能,1,,,
,生态,1,,,
,现代,1,,,
,煤炭,1,,,
,煤气,1,,,
,清洁,1,,,
,深度,1,,,
,消费,1,,,
,海洋能,1,,,
,水电,1,,,
,氢能,1,,,
,模式,1,,,
,核电,1,,,
,材料,1,,,
,更加,1,,,
,效益,1,,,
,放在,1,,,
,推进,1,,,
,推动,1,,,
,探索,1,,,
,开发,1,,,
,建设,1,,,
,应用,1,,,
,夯实,1,,,
,太阳能,1,,,
,天然气,1,,,
,基础,1,,,
,地热能,1,,,
,国内,1,,,
,原油,1,,,
,加快,1,,,
,加强,1,,,
,制造,1,,,
,再生能源,1,,,
,储能,1,,,
,储备,1,,,
,信息,1,,,
,保障,1,,,
,保持,1,,,
,保护,1,,,
,促进,1,,,
,供应,1,,,
,位置,1,,,
,产能,1,,,
,,,,,
要紧紧抓住新一轮科技革命和产业变革的机遇，推动互联网、大数据、人工智能、第五代移动通信（5G）等新兴技术与绿色低碳产业深度融合，建设绿色制造体系和服务体系，提高绿色低碳产业在经济总量中的比重。要严把新上项目的碳排放关，坚决遏制高耗能、高排放、低水平项目盲目发展。要下大气力推动钢铁、有色、石化、化工、建材等传统产业优化升级，加快工业领域低碳工艺革新和数字化转型。,绿色,3,低碳,低碳,科技
,低碳,3,绿色,绿色,技术
,产业,3,产业,产业,建设
,项目,2,排放,排放,推动
,推动,2,盲目发展,盲目发展,加快
,排放,2,5G,5G,产业
,高耗能,1,要严,要严,领域
,领域,1,推动,推动,体系
,革新,1,第五代,第五代,提高
,革命,1,项目,项目,人工智能
,钢铁,1,紧紧抓住,紧紧抓住,融合
,遏制,1,人工智能,人工智能,变革
,通信,1,高耗能,高耗能,革命
,转型,1,传统产业,传统产业,深度
,要严,1,经济总量,经济总量,新一轮
,融合,1,,,
,经济总量,1,,,
,紧紧抓住,1,,,
,第五代,1,,,
,移动,1,,,
,科技,1,,,
,石化,1,,,
,盲目发展,1,,,
,深度,1,,,
,气力,1,,,
,比重,1,,,
,机遇,1,,,
,服务体系,1,,,
,有色,1,,,
,新兴,1,,,
,新一轮,1,,,
,数据,1,,,
,数字化,1,,,
,提高,1,,,
,技术,1,,,
,建设,1,,,
,建材,1,,,
,工艺,1,,,
,工业,1,,,
,坚决,1,,,
,变革,1,,,
,升级,1,,,
,化工,1,,,
,加快,1,,,
,制造,1,,,
,体系,1,,,
,低水平,1,,,
,传统产业,1,,,
,优化,1,,,
,人工智能,1,,,
,互联网,1,,,
,5G,1,,,
,,,,,
加快绿色低碳科技革命。要狠抓绿色低碳技术攻关，加快先进适用技术研发和推广应用。要建立完善绿色低碳技术评估、交易体系，加快创新成果转化。要创新人才培养模式，鼓励高等学校加快相关学科建设。,加快,4,低碳,低碳,创新
,绿色,3,加快,加快,科技
,低碳,3,绿色,绿色,技术
,技术,2,适用技术,适用技术,加快
,创新,2,学科建设,学科建设,体系
,鼓励,1,创新,创新,成果
,高等学校,1,狠抓,狠抓,研发
,革命,1,攻关,攻关,革命
,适用技术,1,人才培养,人才培养,完善
,转化,1,推广应用,推广应用,先进
,评估,1,技术,技术,转化
,科技,1,高等学校,高等学校,鼓励
,研发,1,评估,评估,攻关
,相关,1,研发,研发,建立
,狠抓,1,成果,成果,绿色
,模式,1,,,
,攻关,1,,,
,推广应用,1,,,
,成果,1,,,
,建立,1,,,
,完善,1,,,
,学科建设,1,,,
,先进,1,,,
,体系,1,,,
,人才培养,1,,,
,交易,1,,,
,,,,,
我们要加强人工智能、大数据、云计算等高技术领域合作，让六国人民享受高技术带来的便利。,高技术,2,高技术,高技术,加强
,领域,1,人工智能,人工智能,我们
,计算,1,六国,六国,合作
,数据,1,便利,便利,领域
,我们,1,享受,享受,人工智能
,带来,1,计算,计算,人民
,合作,1,合作,合作,数据
,加强,1,领域,领域,带来
,六国,1,加强,加强,高技术
,便利,1,人民,人民,计算
,人民,1,带来,带来,六国
,人工智能,1,数据,数据,便利
,享受,1,我们,我们,享受
,,,,,
要推动国有企业完善创新体系、增强创新能力、激发创新活力，促进产业链创新链深度融合，提升国有企业原创技术需求牵引、源头供给、资源配置、转化应用能力，打造原创技术策源地。,创新,3,创新,创新,创新
,技术,2,国有企业,国有企业,技术
,国有企业,2,原创,原创,推动
,原创,2,策源地,策源地,体系
,需求,1,技术,技术,提升
,转化,1,资源配置,资源配置,促进
,资源配置,1,创新能力,创新能力,融合
,融合,1,源头,源头,能力
,能力,1,牵引,牵引,应用
,策源地,1,活力,活力,创新能力
,牵引,1,激发,激发,增强
,激发,1,产业链,产业链,完善
,源头,1,打造,打造,转化
,深度,1,融合,融合,需求
,活力,1,深度,深度,深度
,提升,1,,,
,推动,1,,,
,打造,1,,,
,应用,1,,,
,完善,1,,,
,增强,1,,,
,创新能力,1,,,
,促进,1,,,
,供给,1,,,
,体系,1,,,
,产业链,1,,,
,,,,,
解决吃饭问题，根本出路在科技。种源安全关系到国家安全，必须下决心把我国种业搞上去，实现种业科技自立自强、种源自主可控。要发挥我国制度优势，科学调配优势资源，推进种业领域国家重大创新平台建设，加强基础性前沿性研究，加强种质资源收集、保护和开发利用，加快生物育种产业化步伐。要深化农业科技体制改革，强化企业创新主体地位，健全品种审定和知识产权保护制度，以创新链建设为抓手推动我国种业高质量发展。,种业,4,种业,种业,创新
,我国,3,种源,种源,科技
,创新,3,创新,创新,发展
,资源,2,我国,我国,建设
,科技,2,自立自强,自立自强,国家
,种源,2,前沿性,前沿性,推动
,建设,2,科技体制,科技体制,加快
,安全,2,科技,科技,我国
,国家,2,吃饭问题,吃饭问题,加强
,加强,2,优势,优势,科学
,制度,2,安全,安全,领域
,保护,2,搞上去,搞上去,企业
,优势,2,保护,保护,研究
,高质量,1,资源,资源,自主
,领域,1,加强,加强,实现
,重大,1,,,
,调配,1,,,
,解决,1,,,
,自立自强,1,,,
,自主,1,,,
,育种,1,,,
,科技体制,1,,,
,科学,1,,,
,种质,1,,,
,研究,1,,,
,知识产权,1,,,
,生物,1,,,
,深化,1,,,
,步伐,1,,,
,根本,1,,,
,改革,1,,,
,收集,1,,,
,搞上去,1,,,
,推进,1,,,
,推动,1,,,
,抓手,1,,,
,必须,1,,,
,强化,1,,,
,开发利用,1,,,
,平台,1,,,
,审定,1,,,
,实现,1,,,
,基础性,1,,,
,地位,1,,,
,品种,1,,,
,吃饭问题,1,,,
,可控,1,,,
,发挥,1,,,
,发展,1,,,
,加快,1,,,
,前沿性,1,,,
,出路,1,,,
,农业,1,,,
,关系,1,,,
,健全,1,,,
,企业,1,,,
,产业化,1,,,
,主体,1,,,
,下决心,1,,,
,,,,,
文昌航天发射场是我国新一代大推力运载火箭发射场，是我国深空探测的重要桥头堡，在我国航天体系中具有特殊重要地位和作用。要大力弘扬“两弹一星”精神、载人航天精神，坚持面向世界航天发展前沿、面向国家航天重大战略需求，强化使命担当，勇于创新突破，全面提升现代化航天发射能力，努力建设世界一流航天发射场。,航天,7,航天,航天,发展
,我国,3,发射场,发射场,建设
,发射场,3,我国,我国,国家
,重要,2,发射能力,发射能力,我国
,精神,2,深空,深空,世界
,面向世界,1,面向世界,面向世界,战略
,面向,1,两弹一星,两弹一星,重要
,需求,1,精神,精神,体系
,重大,1,勇于创新,勇于创新,重大
,运载火箭,1,桥头堡,桥头堡,坚持
,载人,1,文昌,文昌,突破
,突破,1,弘扬,弘扬,提升
,现代化,1,运载火箭,运载火箭,作用
,特殊,1,载人,载人,具有
,深空,1,前沿,前沿,全面
,桥头堡,1,,,
,新一代,1,,,
,文昌,1,,,
,提升,1,,,
,推力,1,,,
,探测,1,,,
,担当,1,,,
,战略,1,,,
,强化,1,,,
,弘扬,1,,,
,建设,1,,,
,大力,1,,,
,坚持,1,,,
,地位,1,,,
,国家,1,,,
,发展,1,,,
,发射能力,1,,,
,勇于创新,1,,,
,努力,1,,,
,前沿,1,,,
,具有,1,,,
,全面,1,,,
,使命,1,,,
,作用,1,,,
,体系,1,,,
,两弹一星,1,,,
,世界,1,,,
,一流,1,,,
,,,,,
按照既定部署，今年我国将完成空间站建造任务，天舟四号、五号货运飞船和问天、梦天实验舱将从文昌航天发射场发射升空。要精心准备、精心组织、精心实施，确保发射任务圆满成功，以实际行动迎接党的二十大胜利召开。,精心,2,精心,精心,我国
,发射,2,实验舱,实验舱,实施
,任务,2,发射,发射,任务
,飞船,1,天舟,天舟,航天
,问天,1,问天,问天,按照
,部署,1,梦天,梦天,确保
,迎接,1,任务,任务,部署
,货运,1,空间站,空间站,发射
,航天,1,五号,五号,今年
,胜利,1,二十大,二十大,完成
,精心组织,1,四号,四号,胜利
,空间站,1,精心组织,精心组织,空间站
,确保,1,圆满成功,圆满成功,召开
,梦天,1,发射场,发射场,五号
,既定,1,文昌,文昌,建造
,文昌,1,,,
,按照,1,,,
,我国,1,,,
,建造,1,,,
,实验舱,1,,,
,实际行动,1,,,
,实施,1,,,
,完成,1,,,
,天舟,1,,,
,圆满成功,1,,,
,四号,1,,,
,召开,1,,,
,发射场,1,,,
,升空,1,,,
,准备,1,,,
,今年,1,,,
,五号,1,,,
,二十大,1,,,
,,,,,
要围绕保障粮食安全和重要农产品供给集中攻关，实现种业科技自立自强、种源自主可控，用中国种子保障中国粮食安全。要继承和发扬老一辈农业科研工作者胸怀祖国、服务人民的优秀品质，拿出十年磨一剑的劲头，勇攀农业科技高峰。,粮食安全,2,粮食安全,粮食安全,科技
,科技,2,自立自强,自立自强,中国
,保障,2,胸怀祖国,胸怀祖国,自主
,中国,2,保障,保障,重要
,高峰,1,勇攀,勇攀,实现
,集中,1,优秀品质,优秀品质,农业
,重要,1,科技,科技,工作者
,自立自强,1,种源,种源,人民
,自主,1,农业科研,农业科研,服务
,胸怀祖国,1,老一辈,老一辈,攻关
,老一辈,1,十年磨一剑,十年磨一剑,保障
,继承,1,攻关,攻关,自立自强
,种源,1,种业,种业,围绕
,种子,1,劲头,劲头,供给
,种业,1,发扬,发扬,高峰
,服务,1,,,
,攻关,1,,,
,拿出,1,,,
,工作者,1,,,
,实现,1,,,
,围绕,1,,,
,可控,1,,,
,发扬,1,,,
,十年磨一剑,1,,,
,勇攀,1,,,
,劲头,1,,,
,农产品,1,,,
,农业科研,1,,,
,农业,1,,,
,供给,1,,,
,优秀品质,1,,,
,人民,1,,,
,,,,,
要推动海洋科技实现高水平自立自强，加强原创性、引领性科技攻关，把装备制造牢牢抓在自己手里，努力用我们自己的装备开发油气资源，提高能源自给率，保障国家能源安全。,装备,2,自立自强,自立自强,科技
,自己,2,原创性,原创性,国家
,高水平,1,装备,装备,推动
,资源,1,科技攻关,科技攻关,加强
,自给率,1,自给率,自给率,我们
,自立自强,1,能源安全,能源安全,实现
,能源安全,1,牢牢,牢牢,提高
,能源,1,油气,油气,资源
,科技攻关,1,高水平,高水平,努力
,科技,1,引领,引领,引领
,牢牢,1,自己,自己,海洋
,海洋,1,海洋,海洋,保障
,油气,1,保障,保障,自立自强
,提高,1,能源,能源,高水平
,推动,1,努力,努力,能源
,手里,1,,,
,我们,1,,,
,引领,1,,,
,开发,1,,,
,实现,1,,,
,国家,1,,,
,原创性,1,,,
,努力,1,,,
,加强,1,,,
,制造,1,,,
,保障,1,,,
,,,,,
要加快科技体制机制改革，加大科技创新和成果转化力度。,转化,1,科技体制,科技体制,创新
,科技体制,1,成果,成果,科技
,科技,1,转化,转化,加快
,机制,1,力度,力度,成果
,改革,1,机制,机制,改革
,成果,1,加大,加大,加大
,加快,1,加快,加快,机制
,加大,1,科技,科技,转化
,力度,1,创新,创新,力度
,创新,1,改革,改革,科技体制
,,,,,
要全面贯彻网络强国战略，把数字技术广泛应用于政府管理服务，推动政府数字化、智能化运行，为推进国家治理体系和治理能力现代化提供有力支撑。,治理,2,治理,治理,技术
,政府,2,政府,政府,国家
,运行,1,智能化,智能化,推动
,贯彻,1,数字化,数字化,战略
,能力,1,强国,强国,数字
,网络,1,贯彻,贯彻,体系
,管理,1,广泛应用,广泛应用,推进
,现代化,1,现代化,现代化,能力
,服务,1,有力,有力,支撑
,有力,1,数字,数字,全面
,智能化,1,网络,网络,服务
,数字化,1,体系,体系,现代化
,数字,1,支撑,支撑,强国
,支撑,1,战略,战略,提供
,提供,1,推进,推进,管理
,推进,1,,,
,推动,1,,,
,技术,1,,,
,战略,1,,,
,强国,1,,,
,广泛应用,1,,,
,国家,1,,,
,全面,1,,,
,体系,1,,,
,,,,,
要聚焦金融服务科技创新的短板弱项，完善金融支持创新体系，推动金融体系更好适应新时代科技创新需求。,创新,3,创新,创新,创新
,科技,2,弱项,弱项,科技
,需求,1,科技,科技,推动
,金融服务,1,短板,短板,体系
,金融体系,1,聚焦,聚焦,支持
,金融,1,金融体系,金融体系,完善
,适应,1,金融服务,金融服务,需求
,聚焦,1,更好,更好,更好
,短板,1,适应,适应,时代
,更好,1,完善,完善,适应
,时代,1,体系,体系,聚焦
,支持,1,时代,时代,金融
,推动,1,推动,推动,短板
,弱项,1,金融,金融,金融服务
,完善,1,需求,需求,金融体系
,体系,1,,,
,,,,,
要坚持面向世界科技前沿、面向经济主战场、面向国家重大需求、面向人民生命健康，树立勇担使命、潜心研究、创造价值的激励导向，营造有利于原创成果不断涌现、科技成果有效转化的创新生态，激励广大科技人员各展其能、各尽其才。,面向,3,面向,面向,创新
,激励,2,激励,激励,经济
,面向世界,1,科技前沿,科技前沿,国家
,需求,1,勇担,勇担,重大
,重大,1,各展,各展,坚持
,转化,1,其能,其能,人民
,营造,1,面向世界,面向世界,广大
,经济,1,各尽其,各尽其,成果
,科技成果,1,潜心研究,潜心研究,创造
,科技前沿,1,科技人员,科技人员,转化
,科技人员,1,科技成果,科技成果,需求
,生态,1,主战场,主战场,健康
,生命,1,不断涌现,不断涌现,导向
,潜心研究,1,使命,使命,科技成果
,树立,1,导向,导向,面向
,有效,1,,,
,有利于,1,,,
,成果,1,,,
,广大,1,,,
,导向,1,,,
,坚持,1,,,
,国家,1,,,
,各展,1,,,
,各尽其,1,,,
,原创,1,,,
,勇担,1,,,
,创造,1,,,
,创新,1,,,
,其能,1,,,
,健康,1,,,
,使命,1,,,
,价值,1,,,
,人民,1,,,
,主战场,1,,,
,不断涌现,1,,,
,,,,,
要挖掘创新增长潜力，共同加强知识产权保护，在充分参与、凝聚共识的基础上制定规则，为科技发展打造开放、公平、公正、非歧视的环境。要深化创新交流合作，推动科技同经济深度融合，加强创新成果共享，努力打破制约知识、技术、人才等创新要素流动的壁垒，让创新源泉充分涌流。,创新,5,创新,创新,创新
,科技,2,非歧视,非歧视,科技
,加强,2,充分,充分,发展
,充分,2,科技,科技,技术
,非歧视,1,加强,加强,经济
,规则,1,涌流,涌流,推动
,要素,1,壁垒,壁垒,加强
,融合,1,知识产权,知识产权,合作
,经济,1,凝聚,凝聚,人才
,知识产权,1,共享,共享,基础
,知识,1,源泉,源泉,融合
,环境,1,公正,公正,成果
,潜力,1,共识,共识,努力
,源泉,1,深化,深化,环境
,深度,1,挖掘,挖掘,开放
,深化,1,,,
,涌流,1,,,
,流动,1,,,
,推动,1,,,
,挖掘,1,,,
,技术,1,,,
,打造,1,,,
,打破,1,,,
,成果,1,,,
,开放,1,,,
,壁垒,1,,,
,增长,1,,,
,基础,1,,,
,合作,1,,,
,发展,1,,,
,参与,1,,,
,努力,1,,,
,制约,1,,,
,制定,1,,,
,凝聚,1,,,
,共识,1,,,
,共同,1,,,
,共享,1,,,
,公正,1,,,
,公平,1,,,
,保护,1,,,
,人才,1,,,
,交流,1,,,
,,,,,
水稻良种育种周期长，需要反复试验筛选，我国广大农业科技工作者付出了艰辛努力，为保障国家粮食安全、确保老百姓丰衣足食作出了重要贡献，功不可没。推进农业现代化，既要靠农业专家，也要靠广大农民。要加强现代农业科技推广应用和技术培训，把种粮大户组织起来，积极发展绿色农业、生态农业、高效农业。,农业,5,农业,农业,科技
,科技,2,广大,广大,发展
,广大,2,科技,科技,国家
,高效,1,丰衣足食,丰衣足食,我国
,需要,1,技术培训,技术培训,加强
,重要,1,生态农业,生态农业,重要
,起来,1,种粮,种粮,推进
,贡献,1,周期长,周期长,农业
,试验,1,粮食安全,粮食安全,工作者
,艰辛,1,推广应用,推广应用,广大
,良种,1,功不可没,功不可没,积极
,育种,1,现代农业,现代农业,需要
,老百姓,1,良种,良种,努力
,绿色,1,艰辛,艰辛,组织
,组织,1,育种,育种,现代化
,粮食安全,1,,,
,筛选,1,,,
,积极,1,,,
,种粮,1,,,
,确保,1,,,
,生态农业,1,,,
,现代化,1,,,
,现代农业,1,,,
,水稻,1,,,
,既要,1,,,
,推进,1,,,
,推广应用,1,,,
,技术培训,1,,,
,我国,1,,,
,工作者,1,,,
,大户,1,,,
,国家,1,,,
,周期长,1,,,
,发展,1,,,
,反复,1,,,
,努力,1,,,
,加强,1,,,
,功不可没,1,,,
,农民,1,,,
,保障,1,,,
,作出,1,,,
,付出,1,,,
,丰衣足食,1,,,
,专家,1,,,
,,,,,
推进科技创新，要在各领域积极培育高精尖特企业，打造更多“隐形冠军”，形成科技创新体集群。,科技,2,科技,科技,创新
,创新,2,高精尖,高精尖,科技
,高精尖,1,创新,创新,领域
,领域,1,隐形,隐形,企业
,集群,1,集群,集群,推进
,隐形,1,冠军,冠军,形成
,积极,1,打造,打造,积极
,推进,1,培育,培育,培育
,打造,1,推进,推进,打造
,形成,1,领域,领域,集群
,培育,1,积极,积极,高精尖
,冠军,1,形成,形成,冠军
,企业,1,企业,企业,隐形
,,,,,
坚持创新驱动。要挖掘创新增长潜力，完善创新规则和制度环境，打破创新要素流动壁垒，深化创新交流合作，推动科技同经济深度融合，共享创新成果。,创新,6,创新,创新,创新
,驱动,1,壁垒,壁垒,科技
,规则,1,共享,共享,经济
,要素,1,深化,深化,推动
,融合,1,挖掘,挖掘,合作
,经济,1,融合,融合,坚持
,科技,1,潜力,潜力,融合
,环境,1,驱动,驱动,成果
,潜力,1,深度,深度,环境
,深度,1,打破,打破,完善
,深化,1,要素,要素,驱动
,流动,1,交流,交流,制度
,推动,1,成果,成果,要素
,挖掘,1,流动,流动,深化
,打破,1,规则,规则,深度
,成果,1,,,
,完善,1,,,
,壁垒,1,,,
,增长,1,,,
,坚持,1,,,
,合作,1,,,
,制度,1,,,
,共享,1,,,
,交流,1,,,
,,,,,
要遵循科技创新规律和人才成长规律，以激发科技人才创新活力为目标，按照创新活动类型，构建以创新价值、能力、贡献为导向的科技人才评价体系，引导人尽其才、才尽其用、用有所成。,创新,4,创新,创新,创新
,规律,2,科技人才,科技人才,科技
,科技人才,2,才尽其用,才尽其用,人才
,遵循,1,人尽其才,人尽其才,体系
,贡献,1,规律,规律,能力
,评价,1,导向,导向,构建
,能力,1,构建,构建,贡献
,类型,1,活力,活力,活力
,科技,1,激发,激发,导向
,目标,1,遵循,遵循,激发
,激发,1,评价,评价,活动
,活动,1,引导,引导,评价
,活力,1,人才,人才,规律
,构建,1,成长,成长,科技人才
,有所,1,贡献,贡献,目标
,按照,1,,,
,才尽其用,1,,,
,成长,1,,,
,引导,1,,,
,导向,1,,,
,体系,1,,,
,价值,1,,,
,人才,1,,,
,人尽其才,1,,,
,,,,,
我们要坚持开拓创新，激发合作潜能和活力。谁能把握大数据、人工智能等新经济发展机遇，谁就把准了时代脉搏。企图通过搞科技垄断、封锁、壁垒，干扰别国创新发展，维护自身霸权地位，注定行不通。,发展,2,开拓创新,开拓创新,创新
,霸权,1,行不通,行不通,科技
,通过,1,人工智能,人工智能,发展
,行不通,1,潜能,潜能,经济
,自身,1,别国,别国,我们
,脉搏,1,脉搏,脉搏,合作
,维护,1,霸权,霸权,坚持
,经济,1,壁垒,壁垒,人工智能
,科技,1,封锁,封锁,数据
,激发,1,注定,注定,活力
,潜能,1,活力,活力,机遇
,活力,1,激发,激发,激发
,注定,1,干扰,干扰,把握
,机遇,1,机遇,机遇,时代
,时代,1,发展,发展,通过
,数据,1,,,
,把握,1,,,
,我们,1,,,
,开拓创新,1,,,
,干扰,1,,,
,封锁,1,,,
,壁垒,1,,,
,垄断,1,,,
,坚持,1,,,
,地位,1,,,
,合作,1,,,
,别国,1,,,
,创新,1,,,
,企图,1,,,
,人工智能,1,,,
,,,,,
我们要推动完善全球科技治理，让科技成果为更多人所及所享。今年，我们加快金砖国家新工业革命伙伴关系厦门创新基地建设，举办工业互联网与数字制造发展论坛、可持续发展大数据论坛，达成数字经济伙伴关系框架，发布制造业数字化转型合作倡议，建立技术转移中心网络、航天合作机制，为五国加强产业政策对接开辟了新航路。我们着眼数字时代人才需要，建立职业教育联盟，开展职业技能大赛、女性创新大赛，为加强创新创业合作打造人才库。,数字,3,数字,数字,创新
,我们,3,伙伴关系,伙伴关系,科技
,合作,3,大赛,大赛,发展
,创新,3,创新,创新,技术
,论坛,2,合作,合作,建设
,建立,2,人才库,人才库,经济
,大赛,2,论坛,论坛,国家
,发展,2,所享,所享,推动
,加强,2,五国,五国,加快
,伙伴关系,2,职业技能,职业技能,加强
,需要,1,加强,加强,我们
,金砖,1,我们,我们,合作
,达成,1,科技成果,科技成果,人才
,转移,1,金砖,金砖,数字
,转型,1,航路,航路,全球
,航路,1,,,
,航天,1,,,
,联盟,1,,,
,职业技能,1,,,
,职业,1,,,
,网络,1,,,
,经济,1,,,
,科技成果,1,,,
,科技,1,,,
,着眼,1,,,
,治理,1,,,
,框架,1,,,
,机制,1,,,
,时代,1,,,
,数据,1,,,
,数字化,1,,,
,教育,1,,,
,推动,1,,,
,持续,1,,,
,技术,1,,,
,打造,1,,,
,所享,1,,,
,开辟,1,,,
,开展,1,,,
,建设,1,,,
,工业革命,1,,,
,工业,1,,,
,对接,1,,,
,完善,1,,,
,女性,1,,,
,基地,1,,,
,国家,1,,,
,发布,1,,,
,厦门,1,,,
,加快,1,,,
,制造业,1,,,
,制造,1,,,
,创业,1,,,
,全球,1,,,
,倡议,1,,,
,今年,1,,,
,人才库,1,,,
,人才,1,,,
,产业政策,1,,,
,五国,1,,,
,互联网,1,,,
,举办,1,,,
,中心,1,,,
,,,,,
我们要共同培育全球发展新动能。创新是发展的第一动力。我们要推进科技和制度创新，加快技术转移和知识分享，推动现代产业发展，弥合数字鸿沟，加快低碳转型，推动实现更加强劲、绿色、健康的全球发展。,发展,4,发展,发展,创新
,推动,2,低碳,低碳,科技
,我们,2,加快,加快,发展
,加快,2,创新,创新,技术
,创新,2,弥合,弥合,推动
,全球,2,推动,推动,加快
,鸿沟,1,全球,全球,产业
,转移,1,鸿沟,鸿沟,我们
,转型,1,动能,动能,数字
,绿色,1,分享,分享,实现
,第一,1,培育,培育,推进
,科技,1,转型,转型,全球
,知识,1,绿色,绿色,更加
,现代,1,我们,我们,培育
,更加,1,数字,数字,现代
,数字,1,,,
,推进,1,,,
,技术,1,,,
,强劲,1,,,
,弥合,1,,,
,实现,1,,,
,培育,1,,,
,动能,1,,,
,动力,1,,,
,制度,1,,,
,分享,1,,,
,共同,1,,,
,健康,1,,,
,低碳,1,,,
,产业,1,,,
,,,,,
科技自立自强是国家强盛之基、安全之要。我们必须完整、准确、全面贯彻新发展理念，深入实施创新驱动发展战略，把科技的命脉牢牢掌握在自己手中，在科技自立自强上取得更大进展，不断提升我国发展独立性、自主性、安全性，催生更多新技术新产业，开辟经济发展的新领域新赛道，形成国际竞争新优势。,发展,4,自立自强,自立自强,创新
,科技,3,科技,科技,科技
,自立自强,2,发展,发展,发展
,驱动,1,赛道,赛道,技术
,领域,1,之基,之基,经济
,进展,1,之要,之要,国家
,赛道,1,国际竞争,国际竞争,我国
,贯彻,1,自主性,自主性,产业
,自己,1,命脉,命脉,我们
,自主性,1,催生,催生,领域
,经济,1,独立性,独立性,战略
,理念,1,牢牢,牢牢,优势
,独立性,1,强盛,强盛,提升
,牢牢,1,安全性,安全性,形成
